author,date,journal,link,section,summary,title
Brian Lewis,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785716.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Lewis%2C+Brian&pub=New+York+Post&edition=&startpage=47&desc=Shots+in+the+arm+Ellington%2C+Bogdanovic+boost+Nets%27+guard+play,Sport,"""We need that 3-point shooting,"" said [Lionel Hollins], who saw [Wayne Ellington]'s deep threat against the Heat open things up in the paint for [Lopez] and Thaddeus Young. ""We're able to run stuff, we had them helping a lot, trying to keep him from getting shots and then we were able to get stuff at the basket. We were able to get offensive rebounds. Everything can open up when he starts making shots."" ""I struggled [Wednesday] on the 3-point shot,"" [Bojan Bogdanovic] said. ""[I had] many easy shots that I did not knock down. I have to stay aggressive, be an important part of the team and knock down those shots that I have,"" Bogdanovic said. ""Well, Bogey's been playing well. He's had maybe one half or something where he didn't play well. He's been playing well,"" said Hollins. ""But individuals playing well, we need the team to play well, play consistent and make plays and win the game. That's what this business is all about. [But] I'm happy that Bogey played well."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","Shots in the arm Ellington, Bogdanovic boost Nets' guard play"
Brett Cyrgalis,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786152.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Cyrgalis%2C+Brett&pub=New+York+Post&edition=&startpage=46&desc=Moore+grit+Hard-nosed+vet+provides+blueprint+for+how+the+Rangers+must+play,Sport,"""I think we win or lose as a team, individually I just try to prepare the same way and hopefully keep improving as the season goes on,"" Moore said. ""That's my mentality, and I think that's the team's mentality."" ""It's a big one, no doubt - but it's just one win,"" said Moore's winger, Tanner Glass, who actually won the defensive-zone draw with less than two minutes remaining on Wednesday and the Rangers holding a 3-2 lead after Moore was kicked out of the circle. ""I think I am who I am,"" Moore said. ""I just continue to prepare the same way regardless of what's going on around me. I don't think about anything other than that."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Moore grit Hard-nosed vet provides blueprint for how the Rangers must play
Dan Martin,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785620.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Martin%2C+Dan&pub=New+York+Post&edition=&startpage=44&desc=East+%26amp%3B+famine+In+league+debut+for+Mullin%2C+St.+John%27s+slammed+by+Creighton,Sport,"""Seeing the improvements guys are making and also handling the losing, that's a tough balance,"" [Chris Mullin] said after his team fell to 7-7, 0-1 in the conference. ""It doesn't matter who's playing, who's hurt ... you want to win that night."" ""We had all the momentum, we just couldn't get over the hump,"" said Johnson, who had 14 points in the defeat. ""We've got to keep moving forward. The energy was there. The confidence was there."" ""We had 12 turnovers,"" Mullin said. ""Two weeks ago, that would have been hard for us to do. All these things, in the long-term, are going to be very beneficial. In the moment, it's not enjoyable."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","East & famine In league debut for Mullin, St. John's slammed by Creighton"
Ryan Lazo,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786352.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Lazo%2C+Ryan&pub=New+York+Post&edition=&startpage=34&desc=5+questions+for+...+Jim+Spanarkel,TV Sports,"A: I'm shocked at the consistency and the attention to detail they've had. I think because they won last year, it's helping them to say that they don't really care if they go 81-1 during the regular season since it's all about winning the title. They're telling themselves they are a good team and they know it, so why not go out and win every game. It sounds crazy with 82 games, and they are going to lose along the way, but right now they seem so balanced that they will be tough to beat. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",5 questions for ... Jim Spanarkel
,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785791.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=&pub=New+York+Post&edition=&startpage=32&desc=CLICK+OF+THE+WEEK+The+games+and+shows+you+must+watch+%5BCaption+text+only%5D,TV Sports,"Kristaps Porzingis (above) has fallen off from the pace he set in November when he captured Rookie of the Month honors, but he's...Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",CLICK OF THE WEEK The games and shows you must watch [Caption text only]
Ryan Lazo,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786393.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Lazo%2C+Ryan&pub=New+York+Post&edition=&startpage=31&desc=Cover+Story+QUIET+RIOT%21+Jets+making+noise+with+the+anti-Rex+at+controls,TV Sports,"""Just take a look at the timeline of the Jets from the preseason until now,"" [Damien Woody] said. ""It started with the IK Enemkpali situation with Geno [Smith], Sheldon Richardson being suspended ... starting off 4-1 and then losing four of five, and then you go on a five-game winning streak. As a head coach, it's your job to keep everyone even-keeled and that's where you have to give [Todd Bowles] some credit. ""It's not the first time [Rex Ryan] is in this type of situation,"" Woody said. ""A few years ago, he had a chance to get the Jets to the playoffs with a win over the Dolphins, but couldn't get it done. Now he's on the other sideline and I'm sure it's going to be huge for Rex to try to get this victory and sweep the team he used to coach."" It's something Bowles and his coaches have proven adept at. Bowles' confidence and steady hand have elevated his team's play over the season's final month, but it means nothing if the Jets can't get a win in Buffalo. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Cover Story QUIET RIOT! Jets making noise with the anti-Rex at controls
Smith,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785991.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Smith&pub=New+York+Post&edition=&startpage=29&desc=NOW+IN+THEATERS+ANOMALISA+%5Bstar%5D%5Bstar%5D%5Bstar%5D+1%2F2,Pulse,"Dark and dreamlike, this animated movie for adults stars puppet characters that are all too human.Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",NOW IN THEATERS ANOMALISA [star][star][star] 1/2
Kyle Smith,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785582.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Smith%2C+Kyle&pub=New+York+Post&edition=&startpage=29&desc=NOW+IN+THEATERS+STAR+WARS%3A+THE+FORCE+AWAKENS+%5Bstar%5D%5Bstar%5D+1%2F2,Pulse,"W RITER -director J.J. Abrams plays it safe by making a ""Star Wars"" that faithfully stitches together bits from earlier in the space saga.Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",NOW IN THEATERS STAR WARS: THE FORCE AWAKENS [star][star] 1/2
Kyle Smith,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786027.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Smith%2C+Kyle&pub=New+York+Post&edition=&startpage=29&desc=NOW+IN+THEATERS+THE+REVENANT+%5Bstar%5D%5Bstar%5D%5Bstar%5D,Pulse,"Thin on a story level but a vivid, evocative cinematic experience, this frontier adventure stars Leonardo DiCaprio as a trapper left for dead after a bear attack during a wintry 1800s expedition.Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",NOW IN THEATERS THE REVENANT [star][star][star]
Haley Goldberg,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786283.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Goldberg%2C+Haley&pub=New+York+Post&edition=&startpage=27&desc=I+WAS+%242M+IN+DEBT+-+NOW+I%27M+A+SUCCESS%21+Patrice+Washington+owed+millions+after+the+recession+-+and+now+she+teaches+others+how+to+manage+their+money,Pulse,"It's a new year, and a new chance to get your finances in order. Here, 34-year-old Patrice Washington, an Atlanta-based personal-finance expert and author of three books, including the upcoming ""Real Money Answers for Every Woman: How To Win the Money Game With or Without a Man"" (Jan. 19, HarperCollins), tells Haley Goldberg her own story of hitting financial rock bottom - twice - and how she strategized her way out. ""If you keep stressing out about the mortgage industry, you're not going to leave here with a baby,"" my doctor warned me. A maintenance worker had to drill the TV off of the wall to keep me from turning the news back on. After two years of pinching pennies, we still weren't making a dent in our debt. ""This is not the $18,000 credit card debt that you had as a kid,"" a mentor finally told me. ""You're in the big leagues now, and you can't nickel-and-dime your way out of $2 million."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",I WAS $2M IN DEBT - NOW I'M A SUCCESS! Patrice Washington owed millions after the recession - and now she teaches others how to manage their money
hALEY gOLDBERG,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786164.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=gOLDBERG%2C+hALEY&pub=New+York+Post&edition=&startpage=27&desc=GET+YOUR+FINANCES+IN+SHAPE,Pulse,"If you can only settle your debt by filing for bankruptcy, know the cons: a dive in your credit score and a lack of trust from future creditors. ""Bankruptcy was truly not our first choice,"" Washington says of her own decision to file for Chapter 7.Figure out your financial goal. Is it to raise your credit score? Get out of debt? ""Breaking big goals into smaller steps [lets you] complete tasks on a daily, weekly or monthly basis,"" Washington says. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",GET YOUR FINANCES IN SHAPE
Reuters,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785825.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Reuters&pub=New+York+Post&edition=&startpage=26&desc=Buffett+acquires+Va.+newspaper,Business,"The newspaper unit of Warren Buffett's Berkshire Hathaway on Thursday said it purchased The Free Lance-Star, a newspaper in Fredericksburg, Va., from Sandton Capital Partners. Sandton bought the assets in bankruptcy in June 2014. BH Media's announcement was posted on the paper's site. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Buffett acquires Va. newspaper
Keith J Kelly,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785979.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Kelly%2C+Keith+J&pub=New+York+Post&edition=&startpage=26&desc=Women%27s+Health+bikini+pledge+to+top+them+all,Business,"[Amy Keller Laird] wrote: ""You told us you don't love the words 'shrink' and 'diet,' and we're happy to say we kicked those to the cover curb ourselves over the past year. But we're still using two other phrases - 'Bikini Body' and 'Drop Two Sizes' - that you want retired. Since our goal is always to pump you up, and never to make you feel bad, here's our pledge: They're gone. They'll no longer appear on Women's Health covers. (Whew, that felt good!)"" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Women's Health bikini pledge to top them all
Lisa Fickenscher,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786141.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Fickenscher%2C+Lisa&pub=New+York+Post&edition=&startpage=26&desc=Eddie+hemmed+in+Sears+CEO+may+feel+Berkowitz+heat,Business,"[Bruce Berkowitz]'s Fairholme Capital Management, which has a 26 percent stake in the Hoffman Estates, Ill.-based retailer, wants to increase shareholder value, according to a Dec. 8 regulatory filing, and ""will be in contact with members of management, Board of Directors and other significant shareholders"" regarding Sears' ""long-term prospects.""  ""Fairholme likely will press for more asset sales and cost reductions,"" said Richard Church, managing director of Discern Investment Analytics, adding that Sears has been ""underinvesting in its physical assets for years, a major reason behind its horrid sales."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Eddie hemmed in Sears CEO may feel Berkowitz heat
Richard Morgan,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785682.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Morgan%2C+Richard&pub=New+York+Post&edition=&startpage=25&desc=Techs+shine+in+otherwise+dreary+2015,Business,"Their performances offset Apple's 3 percent decline - the first negative year for Nasdaq's historic driver since 2008. The year also saw Google moving into striking range of Apple as the world's most valued company. Its end-of-year market cap of $521.9 billion was only 11.1 percent shy of Apple's $586.9 billion, creating a horse race few would have expected a year ago. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Techs shine in otherwise dreary 2015
Claire Atkinson,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785666.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Atkinson%2C+Claire&pub=New+York+Post&edition=&startpage=25&desc=It%27s+Not+clicking+Colbert+getting+chilly+reception+on+social+media,Business,"[Stephen Colbert] is doing a little better in the traditional ratings, although he's been slipping a bit there as well. ""The Late Show"" is averaging around 3.1 million viewers, second to NBC's ""The Tonight Show Starring [Jimmy Fallon],"" with 3.9 million viewers. Colbert's show will get a coveted promotional slot after CBS airs the Super Bowl in February. Normally, the move might help narrow the digital divide - if Fallon's lead weren't growing even faster. Fallon's digital engagements in the fourth quarter were up 45 percent year over year, according to ListenFirst.  ""The Colbert numbers aren't too surprising,"" Jason Klein, ListenFirst CEO, told The Post. ""Generally, if you look at programming on CBS, it's just not a network where we see high engagement on digital and social. It's not just Colbert.""  Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",It's Not clicking Colbert getting chilly reception on social media
